[2026-02-04 12:57:12] 任务列表（只显示未来任务）:
[2026-02-04 12:57:12]   1. 车辆1 @ 2026-02-05 00:00:10
[2026-02-04 12:57:12]   2. 车辆2 @ 2026-02-05 00:00:10
[2026-02-04 12:57:12]   3. 车辆3 @ 2026-02-05 00:00:10
[2026-02-04 12:57:12]   4. 车辆4 @ 2026-02-05 00:00:10
[2026-02-04 12:57:12]   5. 车辆5 @ 2026-02-05 00:00:10
[2026-02-04 12:57:12]   6. 车辆6 @ 2026-02-05 00:00:10
[2026-02-04 12:57:12]   7. 车辆7 @ 2026-02-05 00:00:10
[2026-02-04 12:57:12] 调度器启动，共 7 个任务
[2026-02-04 12:57:12] [2026-02-04 12:57:12.149090] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:17] [2026-02-04 12:57:17.151308] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:22] [2026-02-04 12:57:22.152756] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:27] [2026-02-04 12:57:27.154804] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:32] [2026-02-04 12:57:32.156220] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:37] [2026-02-04 12:57:37.157600] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:42] [2026-02-04 12:57:42.158575] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:47] [2026-02-04 12:57:47.160311] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:52] [2026-02-04 12:57:52.162148] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:57:57] [2026-02-04 12:57:57.163543] 状态 | 等待:7 运行:0 完成:0
[2026-02-04 12:58:02] [2026-02-04 12:58:02.164580] 状态 | 等待:7 运行:0 完成:0
